index,listsetdiff,numpysetdiff1d
2,5.167099880054593e-05,0.0031879229936748743
7,6.192000000737607e-05,0.003307718987343833
12,7.02239922247827e-05,0.004148242995142937
17,8.155500108841807e-05,0.0037159310013521463
22,8.040200918912888e-05,0.0024540199956391007
27,9.043799946084619e-05,0.002589940995676443
32,0.00010514899622648954,0.00411011501273606
37,0.00023927600705064833,0.0037514220020966604
42,0.0001293319946853444,0.0026364570076111704
47,0.000140341988299042,0.002717309005674906
52,0.00015189200348686427,0.002688448003027588
57,0.00022026700025890023,0.002786639000987634
62,0.0001574869966134429,0.0027698929916368797
67,0.00016925399540923536,0.0028603210084838793
72,0.00016784999752417207,0.0028813209937652573
77,0.0001708390045678243,0.002944938009022735
82,0.00020098099776078016,0.002980431992909871
87,0.00018133700359612703,0.0030042680009501055
92,0.00020342400239314884,0.003082281007664278
97,0.00021357899822760373,0.0031409009970957413
102,0.0002146519982488826,0.0031577250047121197
152,0.00036535499384626746,0.003612526008510031
202,0.00042885700531769544,0.004085777007276192
252,0.0005092619976494461,0.004699654004070908
302,0.00073740299558267,0.005530109992832877
352,0.0008770069980528206,0.006277474996750243
402,0.0010690409981179982,0.007093577994965017
452,0.0013030970003455877,0.007910448999609798
502,0.0020514089992502704,0.008626809998531826
552,0.0023450600128853694,0.009410091995960101
602,0.0025595399929443374,0.010029519005911425
652,0.0026934399938909337,0.010789549996843562
702,0.002900842999224551,0.011482553003588691
752,0.003133983991574496,0.012481183002819307
802,0.0034611320006661117,0.013493814010871574
852,0.0036487280012806877,0.013804657995933667
902,0.0036994520050939173,0.01482297500479035
952,0.00409845300600864,0.015804023001692258
1002,0.00402928699622862,0.01613948799786158
1102,0.004424928003572859,0.017626214001211338
1202,0.004709133005235344,0.01887081700260751
1302,0.005108020006446168,0.020722096000099555
1402,0.006146708998130634,0.02228036499582231
1502,0.006672585994238034,0.023987952998140827
1602,0.007152774996939115,0.024890747998142615
1702,0.007318842996028252,0.025826345998211764
1802,0.007694738989812322,0.027223199998843484
1902,0.008092848991509527,0.0293772379955044
2002,0.011107589001767337,0.03312422199815046
2102,0.011960831005126238,0.036015118996147066
2202,0.01296256500063464,0.03390258700528648
2302,0.012551620995509438,0.03527222599950619
2402,0.013107687002047896,0.03662733199598733
2502,0.013621947000501677,0.03815320000285283
2602,0.014048391007236205,0.03934290399774909
2702,0.014316836997750215,0.04073689298820682
2802,0.014956851999158971,0.04200516999117099
2902,0.014940666005713865,0.04350538599828724
3002,0.015515210994635709,0.045423524992656894
3102,0.015781091002281755,0.046116009005345404
3202,0.016367282994906418,0.04941250399861019
3302,0.01670137100154534,0.0498378829943249
3402,0.017418324001482688,0.05116501600423362
3502,0.01765500399051234,0.05235400299716275
3602,0.01779797999188304,0.05383393800002523
3702,0.018399193009827286,0.05589197301014792
3802,0.018900572991697118,0.05690884399518836
3902,0.01902119000442326,0.058467316994210705
4002,0.019349289999809116,0.060222482003155164
4102,0.0194275120011298,0.060444717993959785
4202,0.01994805599679239,0.06186089800030459
4302,0.020194794997223653,0.06450317100097891
4402,0.02083705300174188,0.06487350699899253
4502,0.021247126001981087,0.06697063001047354
4602,0.021646109002176672,0.06824615600635298
4702,0.02192407900292892,0.06944178399862722
4802,0.021921225008554757,0.07029657499515451
4902,0.022724052992998622,0.07311350299278274
5002,0.023010065997368656,0.07366375099809375
5102,0.02341635400080122,0.07498283499444369
5202,0.026975215005222708,0.07736280700191855
5302,0.024046821999945678,0.07820774299034383
5402,0.026567310007521883,0.07995374500751495
5502,0.027966694993665442,0.08096662200114224
5602,0.027517809998244047,0.08333897701231763
5702,0.028112679996411316,0.08387769298860803
5802,0.028467809010180645,0.08569793999777175
5902,0.02891778499179054,0.08711015099834185
6002,0.029091363001498394,0.08872133000113536
6102,0.02965901199786458,0.08952974299609195
6202,0.029846188001101837,0.0930284359928919
6302,0.03139102000568528,0.09517027898982633
6402,0.03142365599342156,0.09649899699434172
6502,0.032212507008807734,0.09630200799438171
6602,0.031853401989792474,0.09951846901094541
6702,0.03470186999766156,0.10091916700184811
6802,0.033122088003437966,0.10290042799897492
6902,0.033957123989239335,0.10480421800457407
7002,0.03374585200799629,0.10392587300157174
7102,0.03422756100189872,0.10469629999715835
7202,0.034382944999379106,0.10722342098597437
7302,0.03536389200598933,0.10768036199442577
7402,0.035088129006908275,0.10997515800409019
7502,0.03586127200105693,0.1108434930065414
7602,0.036290046002250165,0.11271543300244957
7702,0.03663004700501915,0.11384994300897233
7802,0.04514245099562686,0.11626016399532091
7902,0.045728696990408935,0.11749178101308644
8002,0.046018161010579206,0.11971092299791053
8102,0.05158091000339482,0.12361705700459424
8202,0.049079621996497735,0.12571489899710286
8302,0.04890610100119375,0.12661472900072113
8402,0.05140503900474869,0.12824176698632073
8502,0.04931671000667848,0.12578641901200172
8602,0.051288200993440114,0.12895897500857245
8702,0.05087667299085297,0.13102358600008301
8802,0.05229835100180935,0.1331534390046727
8902,0.05227493599522859,0.13506468701234553
9002,0.05363427399424836,0.13577134598745033
9102,0.05339716200251132,0.13772015599533916
9202,0.05415772100968752,0.1379295819933759
9302,0.054875967995030805,0.14057292700454127
9402,0.056502298000850715,0.14207838199217804
9502,0.05586897599278018,0.1430120979930507
9602,0.0574556140054483,0.14621708300546743
9702,0.05668226598936599,0.14795688100275584
9802,0.057988521992228925,0.14942905199131928
9902,0.05770958599168807,0.15108843000780325
10002,0.06074809399433434,0.1509632560046157
11002,0.06319892400642857,0.16713550200802274
12002,0.06814395599940326,0.1841687949927291
13002,0.07180804500239901,0.20038351300172508
14002,0.07689469899924006,0.2135122159961611
15002,0.08068313299736474,0.22777583499555476
16002,0.0857672809943324,0.24216849499498494
17002,0.08863659400958568,0.26249707699753344
18002,0.09398411300207954,0.27115844600484706
19002,0.09794385900022462,0.29156726200017147
20002,0.10169961200153921,0.3024678220099304
21002,0.11347190600645263,0.32190087900380604
22002,0.11900046399387065,0.3394266830000561
23002,0.12460226600524038,0.36039776499092113
24002,0.1298698259925004,0.37563370099815074
25002,0.1341904939909,0.3865532810013974
26002,0.1365069070016034,0.39475671800028067
27002,0.14077241900668014,0.41456620700773783
28002,0.14489901399065275,0.4305794120009523
29002,0.15010196500224993,0.45226668599934783
30002,0.15499401198758278,0.4567770279973047
31002,0.15911765200144146,0.48429777201090474
32002,0.2741718269971898,0.4931590009946376
33002,0.278110593004385,0.5060349370032782
34002,0.2872629439953016,0.5240593679918675
35002,0.29258853899955284,0.5416015980008524
36002,0.30736077000619844,0.5532560419960646
37002,0.3051201199996285,0.5685991459904471
38002,0.3127575800026534,0.5852884819905739
39002,0.31737189399427734,0.6034994590008864
40002,0.3230572300089989,0.6153618410025956
41002,0.32703058198967483,0.6345863159949658
42002,0.33683191300951876,0.6486233229952632
43002,0.3385934460093267,0.6713557610055432
44002,0.3481060360063566,0.687265597996884
45002,0.34731391399691347,0.7051303479966009
46002,0.36074539899709634,0.7214150819927454
47002,0.35500594999757595,0.7361243509949418
48002,0.36561430800065864,0.7559038269973826
49002,0.37517249400843866,0.7927510350127704
50002,0.3843348010123009,0.8039324029959971
51002,0.3823334800108569,0.8197141580021707
52002,0.3892334099946311,0.8377701169956708
53002,0.3979706629907014,0.871694646004471
54002,0.4490454800106818,0.9075705959985498
55002,0.4167956269957358,0.8893041419942165
56002,0.45417680199898314,0.9384645029931562
57002,0.47002031399460975,0.96172256799764
58002,0.4390386579907499,0.9473341310076648
59002,0.42339940600504633,0.9825757630023872
60002,0.46538194999448024,0.986664326992468
61002,0.430741685006069,1.0111561079975218
62002,0.4522082519979449,1.0026471150049474
63002,0.4441437479981687,1.0598921380005777
64002,0.44190163299208507,1.0324739450006746
65002,0.4433539519959595,1.067937386003905
66002,0.4689678060094593,1.0757936959998915
67002,0.5167505429999437,1.134170654011541
68002,0.5057604600006016,1.1219455039972672
69002,0.5002504139993107,1.1607779059995664
70002,0.500213077000808,1.1678457369998796
71002,0.5227372689987533,1.1634067520062672
72002,0.4934040920052212,1.1745719340106007
73002,0.49245796298782807,1.2017786249925848
74002,0.5153068629879272,1.2177023620024556
75002,0.5092262109974399,1.2325299730000552
76002,0.520651180006098,1.2593504740070784
77002,0.5138489729870344,1.2632265880092746
78002,0.5318011240015039,1.2850438829918858
79002,0.5389244309917558,1.2925163290055934
80002,0.5259217950078892,1.3051984460034873
81002,0.5219583099969896,1.3197247500065714
82002,0.5493295680062147,1.3305185140052345
83002,0.527625000991975,1.3514561859919922
84002,0.5549991849984508,1.4465550290042302
85002,0.6451898369996343,1.408726890993421
86002,0.6518999179970706,1.5098059340089094
87002,0.629083885010914,1.427316133005661
88002,0.6438366039947141,1.5206305390020134
89002,0.5968322319968138,1.4664081829978386
90002,0.6637938579951879,1.5460248719900846
91002,0.6073127310082782,1.4977576730016153
92002,0.6662611399951857,1.5893639709975105
93002,0.6272184290137375,1.530852234995109
94002,0.6731967699888628,1.625650140005746
95002,0.6323949189973064,1.5516872730077012
96002,0.6765497620071983,1.6547780459950445
97002,0.6394703959958861,1.5919378669932485
98002,0.6995725370070431,1.7156764029932674
99002,0.6509816360048717,1.6345846659969538
100002,0.6964160930074286,1.7268560419906862
120002,0.7968533800012665,1.9885286719945725
140002,1.1903493450081442,2.3396058429934783
160002,1.4223503289977089,2.7072190470062196
180002,1.5786239419976482,3.2417910369986203
200002,1.7160555750015192,3.4139526170038152
220002,1.8993837659945711,4.020048032005434
240002,1.8991320799977984,4.144832417005091
260002,2.8672875210031634,4.535612699997728
280002,3.114219872004469,4.882243863001349
300002,3.3243484209961025,5.270469313996728
320002,3.5769204030075343,5.671503745004884
340002,3.980458498990629,6.035349020006834
360002,4.132156527004554,6.369333723007003
380002,4.3830208529980155,6.729983632001677
400002,4.633921747998102,7.168058807001216
420002,4.850835546007147,7.549113635002868
440002,5.049691120002535,7.919893922997289
460002,5.249858480005059,8.214076105999993
480002,5.768880420000642,8.82371826999588
